# x_m,y_m,w_tr_right_m,w_tr_left_m
12.2989,-2.0208,2.0000,2.0000
12.2586,-2.0543,2.0000,2.0000
12.2175,-2.0867,2.0000,2.0000
12.1756,-2.1180,2.0000,2.0000
12.1328,-2.1483,2.0000,2.0000
12.0893,-2.1773,2.0000,2.0000
12.0450,-2.2053,2.0000,2.0000
12.0000,-2.2321,2.0000,2.0000
11.9543,-2.2576,2.0000,2.0000
11.9080,-2.2820,2.0000,2.0000
11.8610,-2.3052,2.0000,2.0000
11.8135,-2.3271,2.0000,2.0000
11.7654,-2.3478,2.0000,2.0000
11.7167,-2.3672,2.0000,2.0000
11.6676,-2.3853,2.0000,2.0000
11.6180,-2.4021,2.0000,2.0000
11.5680,-2.4176,2.0000,2.0000
11.5176,-2.4319,2.0000,2.0000
11.4669,-2.4447,2.0000,2.0000
11.4158,-2.4563,2.0000,2.0000
11.3645,-2.4665,2.0000,2.0000
11.3129,-2.4754,2.0000,2.0000
11.2611,-2.4829,2.0000,2.0000
11.2091,-2.4890,2.0000,2.0000
11.1569,-2.4938,2.0000,2.0000
11.1047,-2.4973,2.0000,2.0000
11.0524,-2.4993,2.0000,2.0000
11.0000,-2.5000,2.0000,2.0000
10.8167,-2.5000,2.0000,2.0000
10.6333,-2.5000,2.0000,2.0000
10.4500,-2.5000,2.0000,2.0000
10.2667,-2.5000,2.0000,2.0000
10.0833,-2.5000,2.0000,2.0000
9.9000,-2.5000,2.0000,2.0000
9.7167,-2.5000,2.0000,2.0000
9.5333,-2.5000,2.0000,2.0000
9.3500,-2.5000,2.0000,2.0000
9.1667,-2.5000,2.0000,2.0000
8.9833,-2.5000,2.0000,2.0000
8.8000,-2.5000,2.0000,2.0000
8.6167,-2.5000,2.0000,2.0000
8.4333,-2.5000,2.0000,2.0000
8.2500,-2.5000,2.0000,2.0000
8.0667,-2.5000,2.0000,2.0000
7.8833,-2.5000,2.0000,2.0000
7.7000,-2.5000,2.0000,2.0000
7.5167,-2.5000,2.0000,2.0000
7.3333,-2.5000,2.0000,2.0000
7.1500,-2.5000,2.0000,2.0000
6.9667,-2.5000,2.0000,2.0000
6.7833,-2.5000,2.0000,2.0000
6.6000,-2.5000,2.0000,2.0000
6.4167,-2.5000,2.0000,2.0000
6.2333,-2.5000,2.0000,2.0000
6.0500,-2.5000,2.0000,2.0000
5.8667,-2.5000,2.0000,2.0000
5.6833,-2.5000,2.0000,2.0000
5.5000,-2.5000,2.0000,2.0000
5.3167,-2.5000,2.0000,2.0000
5.1333,-2.5000,2.0000,2.0000
4.9500,-2.5000,2.0000,2.0000
4.7667,-2.5000,2.0000,2.0000
4.5833,-2.5000,2.0000,2.0000
4.4000,-2.5000,2.0000,2.0000
4.2167,-2.5000,2.0000,2.0000
4.0333,-2.5000,2.0000,2.0000
3.8500,-2.5000,2.0000,2.0000
3.6667,-2.5000,2.0000,2.0000
3.4833,-2.5000,2.0000,2.0000
3.3000,-2.5000,2.0000,2.0000
3.1167,-2.5000,2.0000,2.0000
2.9333,-2.5000,2.0000,2.0000
2.7500,-2.5000,2.0000,2.0000
2.5667,-2.5000,2.0000,2.0000
2.3833,-2.5000,2.0000,2.0000
2.2000,-2.5000,2.0000,2.0000
2.0167,-2.5000,2.0000,2.0000
1.8333,-2.5000,2.0000,2.0000
1.6500,-2.5000,2.0000,2.0000
1.4667,-2.5000,2.0000,2.0000
1.2833,-2.5000,2.0000,2.0000
1.1000,-2.5000,2.0000,2.0000
0.9167,-2.5000,2.0000,2.0000
0.7333,-2.5000,2.0000,2.0000
0.5500,-2.5000,2.0000,2.0000
0.3667,-2.5000,2.0000,2.0000
0.1833,-2.5000,2.0000,2.0000
0.0000,-2.5000,2.0000,2.0000
-0.1833,-2.5000,2.0000,2.0000
-0.3667,-2.5000,2.0000,2.0000
-0.5500,-2.5000,2.0000,2.0000
-0.7333,-2.5000,2.0000,2.0000
-0.9167,-2.5000,2.0000,2.0000
-1.1000,-2.5000,2.0000,2.0000
-1.2833,-2.5000,2.0000,2.0000
-1.4667,-2.5000,2.0000,2.0000
-1.6500,-2.5000,2.0000,2.0000
-1.8333,-2.5000,2.0000,2.0000
-2.0167,-2.5000,2.0000,2.0000
-2.2000,-2.5000,2.0000,2.0000
-2.3833,-2.5000,2.0000,2.0000
-2.5667,-2.5000,2.0000,2.0000
-2.7500,-2.5000,2.0000,2.0000
-2.9333,-2.5000,2.0000,2.0000
-3.1167,-2.5000,2.0000,2.0000
-3.3000,-2.5000,2.0000,2.0000
-3.4833,-2.5000,2.0000,2.0000
-3.6667,-2.5000,2.0000,2.0000
-3.8500,-2.5000,2.0000,2.0000
-4.0333,-2.5000,2.0000,2.0000
-4.2167,-2.5000,2.0000,2.0000
-4.4000,-2.5000,2.0000,2.0000
-4.5833,-2.5000,2.0000,2.0000
-4.7667,-2.5000,2.0000,2.0000
-4.9500,-2.5000,2.0000,2.0000
-5.1333,-2.5000,2.0000,2.0000
-5.3167,-2.5000,2.0000,2.0000
-5.5000,-2.5000,2.0000,2.0000
-5.6833,-2.5000,2.0000,2.0000
-5.8667,-2.5000,2.0000,2.0000
-6.0500,-2.5000,2.0000,2.0000
-6.2333,-2.5000,2.0000,2.0000
-6.4167,-2.5000,2.0000,2.0000
-6.6000,-2.5000,2.0000,2.0000
-6.7833,-2.5000,2.0000,2.0000
-6.9667,-2.5000,2.0000,2.0000
-7.1500,-2.5000,2.0000,2.0000
-7.3333,-2.5000,2.0000,2.0000
-7.5167,-2.5000,2.0000,2.0000
-7.7000,-2.5000,2.0000,2.0000
-7.8833,-2.5000,2.0000,2.0000
-8.0667,-2.5000,2.0000,2.0000
-8.2500,-2.5000,2.0000,2.0000
-8.4333,-2.5000,2.0000,2.0000
-8.6167,-2.5000,2.0000,2.0000
-8.8000,-2.5000,2.0000,2.0000
-8.9833,-2.5000,2.0000,2.0000
-9.1667,-2.5000,2.0000,2.0000
-9.3500,-2.5000,2.0000,2.0000
-9.5333,-2.5000,2.0000,2.0000
-9.7167,-2.5000,2.0000,2.0000
-9.9000,-2.5000,2.0000,2.0000
-10.0833,-2.5000,2.0000,2.0000
-10.2667,-2.5000,2.0000,2.0000
-10.4500,-2.5000,2.0000,2.0000
-10.6333,-2.5000,2.0000,2.0000
-10.8167,-2.5000,2.0000,2.0000
-11.0000,-2.5000,2.0000,2.0000
-11.0524,-2.4993,2.0000,2.0000
-11.1047,-2.4973,2.0000,2.0000
-11.1569,-2.4938,2.0000,2.0000
-11.2091,-2.4890,2.0000,2.0000
-11.2611,-2.4829,2.0000,2.0000
-11.3129,-2.4754,2.0000,2.0000
-11.3645,-2.4665,2.0000,2.0000
-11.4158,-2.4563,2.0000,2.0000
-11.4669,-2.4447,2.0000,2.0000
-11.5176,-2.4319,2.0000,2.0000
-11.5680,-2.4176,2.0000,2.0000
-11.6180,-2.4021,2.0000,2.0000
-11.6676,-2.3853,2.0000,2.0000
-11.7167,-2.3672,2.0000,2.0000
-11.7654,-2.3478,2.0000,2.0000
-11.8135,-2.3271,2.0000,2.0000
-11.8610,-2.3052,2.0000,2.0000
-11.9080,-2.2820,2.0000,2.0000
-11.9543,-2.2576,2.0000,2.0000
-12.0000,-2.2321,2.0000,2.0000
-12.0450,-2.2053,2.0000,2.0000
-12.0893,-2.1773,2.0000,2.0000
-12.1328,-2.1483,2.0000,2.0000
-12.1756,-2.1180,2.0000,2.0000
-12.2175,-2.0867,2.0000,2.0000
-12.2586,-2.0543,2.0000,2.0000
-12.2989,-2.0208,2.0000,2.0000
-12.3383,-1.9863,2.0000,2.0000
-12.3767,-1.9507,2.0000,2.0000
-12.4142,-1.9142,2.0000,2.0000
-12.4507,-1.8767,2.0000,2.0000
-12.4863,-1.8383,2.0000,2.0000
-12.5208,-1.7989,2.0000,2.0000
-12.5543,-1.7586,2.0000,2.0000
-12.5867,-1.7175,2.0000,2.0000
-12.6180,-1.6756,2.0000,2.0000
-12.6483,-1.6328,2.0000,2.0000
-12.6773,-1.5893,2.0000,2.0000
-12.7053,-1.5450,2.0000,2.0000
-12.7321,-1.5000,2.0000,2.0000
-12.7576,-1.4543,2.0000,2.0000
-12.7820,-1.4080,2.0000,2.0000
-12.8052,-1.3610,2.0000,2.0000
-12.8271,-1.3135,2.0000,2.0000
-12.8478,-1.2654,2.0000,2.0000
-12.8672,-1.2167,2.0000,2.0000
-12.8853,-1.1676,2.0000,2.0000
-12.9021,-1.1180,2.0000,2.0000
-12.9176,-1.0680,2.0000,2.0000
-12.9319,-1.0176,2.0000,2.0000
-12.9447,-0.9669,2.0000,2.0000
-12.9563,-0.9158,2.0000,2.0000
-12.9665,-0.8645,2.0000,2.0000
-12.9754,-0.8129,2.0000,2.0000
-12.9829,-0.7611,2.0000,2.0000
-12.9890,-0.7091,2.0000,2.0000
-12.9938,-0.6569,2.0000,2.0000
-12.9973,-0.6047,2.0000,2.0000
-12.9993,-0.5524,2.0000,2.0000
-13.0000,-0.5000,2.0000,2.0000
-13.0000,-0.4917,2.0000,2.0000
-13.0000,-0.4833,2.0000,2.0000
-13.0000,-0.4750,2.0000,2.0000
-13.0000,-0.4667,2.0000,2.0000
-13.0000,-0.4583,2.0000,2.0000
-13.0000,-0.4500,2.0000,2.0000
-13.0000,-0.4417,2.0000,2.0000
-13.0000,-0.4333,2.0000,2.0000
-13.0000,-0.4250,2.0000,2.0000
-13.0000,-0.4167,2.0000,2.0000
-13.0000,-0.4083,2.0000,2.0000
-13.0000,-0.4000,2.0000,2.0000
-13.0000,-0.3917,2.0000,2.0000
-13.0000,-0.3833,2.0000,2.0000
-13.0000,-0.3750,2.0000,2.0000
-13.0000,-0.3667,2.0000,2.0000
-13.0000,-0.3583,2.0000,2.0000
-13.0000,-0.3500,2.0000,2.0000
-13.0000,-0.3417,2.0000,2.0000
-13.0000,-0.3333,2.0000,2.0000
-13.0000,-0.3250,2.0000,2.0000
-13.0000,-0.3167,2.0000,2.0000
-13.0000,-0.3083,2.0000,2.0000
-13.0000,-0.3000,2.0000,2.0000
-13.0000,-0.2917,2.0000,2.0000
-13.0000,-0.2833,2.0000,2.0000
-13.0000,-0.2750,2.0000,2.0000
-13.0000,-0.2667,2.0000,2.0000
-13.0000,-0.2583,2.0000,2.0000
-13.0000,-0.2500,2.0000,2.0000
-13.0000,-0.2417,2.0000,2.0000
-13.0000,-0.2333,2.0000,2.0000
-13.0000,-0.2250,2.0000,2.0000
-13.0000,-0.2167,2.0000,2.0000
-13.0000,-0.2083,2.0000,2.0000
-13.0000,-0.2000,2.0000,2.0000
-13.0000,-0.1917,2.0000,2.0000
-13.0000,-0.1833,2.0000,2.0000
-13.0000,-0.1750,2.0000,2.0000
-13.0000,-0.1667,2.0000,2.0000
-13.0000,-0.1583,2.0000,2.0000
-13.0000,-0.1500,2.0000,2.0000
-13.0000,-0.1417,2.0000,2.0000
-13.0000,-0.1333,2.0000,2.0000
-13.0000,-0.1250,2.0000,2.0000
-13.0000,-0.1167,2.0000,2.0000
-13.0000,-0.1083,2.0000,2.0000
-13.0000,-0.1000,2.0000,2.0000
-13.0000,-0.0917,2.0000,2.0000
-13.0000,-0.0833,2.0000,2.0000
-13.0000,-0.0750,2.0000,2.0000
-13.0000,-0.0667,2.0000,2.0000
-13.0000,-0.0583,2.0000,2.0000
-13.0000,-0.0500,2.0000,2.0000
-13.0000,-0.0417,2.0000,2.0000
-13.0000,-0.0333,2.0000,2.0000
-13.0000,-0.0250,2.0000,2.0000
-13.0000,-0.0167,2.0000,2.0000
-13.0000,-0.0083,2.0000,2.0000
-13.0000,0.0000,2.0000,2.0000
-13.0000,0.0083,2.0000,2.0000
-13.0000,0.0167,2.0000,2.0000
-13.0000,0.0250,2.0000,2.0000
-13.0000,0.0333,2.0000,2.0000
-13.0000,0.0417,2.0000,2.0000
-13.0000,0.0500,2.0000,2.0000
-13.0000,0.0583,2.0000,2.0000
-13.0000,0.0667,2.0000,2.0000
-13.0000,0.0750,2.0000,2.0000
-13.0000,0.0833,2.0000,2.0000
-13.0000,0.0917,2.0000,2.0000
-13.0000,0.1000,2.0000,2.0000
-13.0000,0.1083,2.0000,2.0000
-13.0000,0.1167,2.0000,2.0000
-13.0000,0.1250,2.0000,2.0000
-13.0000,0.1333,2.0000,2.0000
-13.0000,0.1417,2.0000,2.0000
-13.0000,0.1500,2.0000,2.0000
-13.0000,0.1583,2.0000,2.0000
-13.0000,0.1667,2.0000,2.0000
-13.0000,0.1750,2.0000,2.0000
-13.0000,0.1833,2.0000,2.0000
-13.0000,0.1917,2.0000,2.0000
-13.0000,0.2000,2.0000,2.0000
-13.0000,0.2083,2.0000,2.0000
-13.0000,0.2167,2.0000,2.0000
-13.0000,0.2250,2.0000,2.0000
-13.0000,0.2333,2.0000,2.0000
-13.0000,0.2417,2.0000,2.0000
-13.0000,0.2500,2.0000,2.0000
-13.0000,0.2583,2.0000,2.0000
-13.0000,0.2667,2.0000,2.0000
-13.0000,0.2750,2.0000,2.0000
-13.0000,0.2833,2.0000,2.0000
-13.0000,0.2917,2.0000,2.0000
-13.0000,0.3000,2.0000,2.0000
-13.0000,0.3083,2.0000,2.0000
-13.0000,0.3167,2.0000,2.0000
-13.0000,0.3250,2.0000,2.0000
